1000049327100,20170520,"학산문화사,아이누리"
1000044455285,20180915,"학산문화사,아이누리"
1000044455292,20190130,"학산문화사,아이누리"
1000044455249,20200215,"학산문화사,아이누리"
1000044455284,20180901,"학산문화사,아이누리"
1000044455323,20191015,"학산문화사,아이누리"
1000044455334,20170420,"학산문화사,아이누리"
1000044456497,20190815,"학산문화사,아이누리"
1000044456517,20150415,"학산문화사,아이누리"
1000044456572,20190701,"학산문화사,아이누리"
1000044456585,20190615,"학산문화사,아이누리"
1000044456723,20180930,"학산문화사,아이누리"
1000049106612,2020-02-20 00:00:00,학산문화사 편집부 / 아이누리(학산문화사)
1000049106499,2020-06-15 00:00:00,학산문화사 편집부 / 아이누리(학산문화사)
1000003894486,20130525,베르나르 라퐁슈
1000003879633,20130825,학산문화사 편집부
1000003971533,20090630,히가시노 게이고
1000031346314,2018.12.25,아가사 (지은이) PD정 (그림)학산문화사(단행본)
1000031309382,출간일:2018-10-04 오전 12:00:00,저자:김언정 글 /신영미 그림 / 출판사:학산문화사
1000049890813,2020-06-25 00:00:00,학산문화사 편집부 / 아이누리(학산문화사)
1000049881343,2020-05-25,"Yuyuko Takemiya (원작), 학산문화사"
1000024096900,2016-06-06,"타츠노코 타로 지음, 한신남 옮김, 아마노 유우 그림 / 학산문화사"
1000049890634,2020-05-25 00:00:00,김언정 / 학산문화사
1000024096896,2017-06-09,"리후진 나 마고노테 지음, 한신남 옮김, 시로타카 그림 / 학산문화사"
1000039396347,20191219,학산문화사 편집부
1000027559528,2017/12/25,"학산문화사 편집부 펴냄, 학산문화사"
1000024096890,2017-10-13,"나이토 야스히로 (원작) , 아키타 요시노부 지음, 정대식 옮김 / 학산문화사"
1000024096901,2017-02-02,"타츠노코 타로 지음, 한신남 옮김, 모모코 그림 / 학산문화사"
1000024180970,출간일:2017-10-10 오전 12:00:00,저자:편집부 저 / 출판사:학산문화사
1000049881426,2020-06-25,"Chie Shinohara, 학산문화사"
1000024096897,2017-07-25,"와가하라 사토시 지음, 한신남 옮김, 029 그림 / 학산문화사"
1000024187794,20171010,마크 트웨인(Mark Twain)
1000024180976,출간일:2017-09-30 오전 12:00:00,저자:편집부 저 / 출판사:학산문화사
1000026101597,2018-01-25,조석 (원작) 지음 / 학산문화사
1000027579950,2017/12/15,"학산문화사 편집부 글, 학산문화사"
1000028676676,2016.12.25,김정욱 지음 김기수 그림학산문화사(단행본)
1000030905685,20181125,학산문화사 편집부
1000030887864,출간일:2018-11-18 오전 12:00:00,"저자:히라카와 아야 글, 그림 / 출판사:학산문화사"
1000003853109,20140105,학산문화사(아이누리) 편집부
1000030954382,20111021,편집부 저 / 학산문화사
1000030942681,2018.11.25,학산문화사 편집부 (지은이)아이누리
1000030887849,출간일:2018-11-18 오전 12:00:00,저자:시노하라 치에 글그림 / 출판사:학산문화사
1000028650115,2004.09.03,황경태 엮음학산문화사(단행본)
1000030879079,20181126,기욤 뮈소(Guillaume Musso)
1000030942355,20181108,학산 이상규
1000030887846,출간일:2016-02-26 오전 12:00:00,저자:야마하라 요시토 글그림 / 출판사:학산문화사
1000028671119,2017.07.25,학산문화사 편집부 지음학산문화사(단행본)
1000028671180,2017.06.25,학산문화사 편집부 지음학산문화사(단행본)
1000028675977,2017.01.25,동우에이앤이(주).(주)티아츠코리아 원작학산문화사(단행본)
1000028666926,2002.04.15,마크 트웨인 (지은이) 이희재 (옮긴이)시공주니어
0000009216345,20091215,"타케시 히나타(Takeshi Hinata),학산문화사(만화/잡지)"
1000028670423,2017.10.25,학산문화사 편집부 지음학산문화사(단행본)
1000044800519,2020-04-25 00:00:00,조석 / 학산문화사
1000028675969,2017.01.25,삼지애니메이션 원작학산문화사(단행본)
1000028670271,2018.01.25,마이타 나오 원작학산문화사(단행본)
1000041896430,20190322,"이빈,서지원,학산문화사 편집부"
1000041909088,20200203,학산문화사 편집부
1000049773283,20200625,학산문화사 편집부
1000049710266,출간일:2020-04-30 오전 12:00:00,저자:학산문화사 편집부 / 출판사:학산문화사
1000035032940,출간일:20111230,저자:김세라 / 출판사:학산문화사
1000044795208,20200420,학산문화사 편집부
0000004749942,20080815,"코바야시 리츠(Ritz Kobayashi),학산문화사(만화/잡지)"
1000049750013,20191025,학산문화사 편집부
1000049720678,20161215,학산문화사
1000049720892,20151125,학산문화사
1000035033949,출간일:20161025,저자:김정욱 / 출판사:학산문화사
1000035033954,출간일:20141125,저자:서지원 / 출판사:학산문화사
1000049721594,20150730,학산문화사
1000049721665,20150620,학산문화사
1000049721643,20150620,학산문화사
1000035034174,출간일:20180731,저자:편집부 / 출판사:학산문화사
1000038105522,2016-02-25 00:00:00,김언정 / 학산문화사
1000049720893,20151125,학산문화사
1000049721616,20150620,학산문화사
1000049721482,20191125,학산문화사
1000049721634,20150620,학산문화사
1000003897903,20111220,학산문화사 편집부
1000038227656,2019.10.25,"Matti Pikkuj&auml;ms&auml;,Antti Ervasti 지음, 학산문화사"
1000038129924,2015-12-07 00:00:00,이루마 히토마 / 학산문화사
1000019530536,20161004,학산문화사 편집부
1000026677494,2018/03/25,"학산문화사 편집부 글, 학산문화사"
1000039650039,2019.11.20,학산문화사 편집부 (엮은이)학산문화사(단행본)
1000017494842,2016년 02월 26일,나카무라 히카루 / 학산문화사
1000017515088,20160512,학산문화사 편집부
1000004143298,20090425,학산문화사 편집부
1000003823449,20061026,학산문화사 편집부
1000003901081,20120915,학산문화사 편집부
1000003964873,20090416,히가시노 게이고
1000039749121,2019-12-25 00:00:00,아이누리 편집부 / 아이누리(학산문화사)
1000009825126,20141212,마크 트웨인(Mark Twain)
1000009899331,20080630,학산문화사 편집부
